Position,Batsman,Team,Matches,Innings,Not_out,Runs,Highest_score,Average,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes
1,Angkrish Raghuvanshi,KKR,2,2,0,103,52,51.5,58,177.58,0,2,0,12,4
2,Ishan Kishan,SRH,2,2,0,94,80,47,47,200,0,1,0,11,5
3,Heinrich Klaasen,SRH,2,2,0,83,52,41.5,57,145.61,0,1,0,6,2
4,Ryan Rickelton,MI,1,1,0,81,81,81,43,188.37,0,1,0,4,8
5,Rohit Sharma,MI,1,1,0,78,78,78,38,205.26,0,1,0,6,6
6,Ajinkya Rahane,KKR,2,2,0,75,67,37.5,50,150,0,1,0,3,5
7,Cooper Connolly,PBKS,1,1,1,72,72,NA,44,163.63,0,1,0,5,5
8,Sameer Rizvi,DC,1,1,1,70,70,NA,47,148.93,0,1,0,5,4
9,Virat Kohli,RCB,1,1,1,69,69,NA,38,181.57,0,1,0,5,5
10,Rinku Singh,KKR,2,2,1,68,35,68,46,147.82,0,0,0,8,1
11,Finn Allen,KKR,2,2,0,65,37,32.5,24,270.83,0,0,0,10,4
12,Devdutt Padikkal,RCB,1,1,0,61,61,61,26,234.61,0,1,0,7,4
13,Travis Head,SRH,2,2,0,57,46,28.5,30,190,0,0,0,8,3
14,Abhishek Sharma,SRH,2,2,0,55,48,27.5,29,189.65,0,0,0,4,5
15,Vaibhav Sooryavanshi,RR,1,1,0,52,52,52,17,305.88,0,1,0,4,5
