Position,Bowler,Team,Matches,Innings,Balls,Overs,Maidens,Runs,Wickets,Best_bowling_figure,Economy_rate,Four_wicket_haul,Five_wicket_hall
1,Jaydev Unadkat,SRH,2,2,36,6,0,50,4,3--21,8.33,0,0
2,Blessing Muzarabani,KKR,2,2,42,7,0,75,4,4--41,10.71,1,0
3,Jacob Duffy,RCB,1,1,24,4,0,22,3,3--22,5.5,0,0
4,T Natarajan,DC,1,1,24,4,0,29,3,3--29,7.25,0,0
5,Prasidh Krishna,GT,1,1,24,4,0,29,3,3--29,7.25,0,0
6,Lungi Ngidi,DC,1,1,22,3.4,0,27,3,3--27,7.36,0,0
7,Vijaykumar Vyshak,PBKS,1,1,24,4,0,34,3,3--34,8.5,0,0
8,Shardul Thakur,MI,1,1,24,4,0,39,3,3--39,9.75,0,0
9,Vaibhav Arora,KKR,2,2,48,8,0,99,3,2--47,12.37,0,0
10,Romario Shepherd,RCB,1,1,24,4,0,54,3,2--54,13.5,0,0
11,Jofra Archer,RR,1,1,24,4,0,19,2,2--19,4.75,0,0
12,Ravindra Jadeja,RR,1,1,18,3,0,18,2,2--18,6,0,0
13,Nandre Burger,RR,1,1,24,4,0,26,2,2--26,6.5,0,0
14,Prince Yadav,LSG,1,1,18,3,0,20,2,2--20,6.66,0,0
15,Yuzvendra Chahal,PBKS,1,1,24,4,0,28,2,2--28,7,0,0
